"Sanction Counts, 2011-12"
"All Districts"

"",,"Sanction Type",,,
"District","District Code","In-School Suspension","Out-of-School Suspension","Expulsion","Bus Suspension"
"Achievement First Hartford Academy Inc. District","=""2880013""",701,1102,"*",0
"Amistad Academy District","=""2790013""",385,99,9,0
"Andover School District","=""0010011""",0,"*",0,0
"Ansonia School District","=""""",471,184,7,"*"
"Ansonia School District","=""0020011""",471,184,7,"*"
"Area Cooperative Educational Services","=""2440014""",255,358,"*",26
"Ashford School District","=""0030011""",14,"*",0,13
"Avon School District","=""0040011""",65,26,"*","*"
"Barkhamsted School District","=""0050011""","*",0,0,0
"Berlin School District","=""0070011""",391,54,"*",0
"Bethany School District","=""0080011""","*","*",0,0
"Bethel School District","=""0090011""",432,21,"*",8
"Bloomfield School District","=""""",362,232,"*",19
"Bloomfield School District","=""0110011""",362,232,"*",19
"Bolton School District","=""0120011""",16,26,0,0
"Bozrah School District","=""0130011""","*","*",0,0
"Branford School District","=""0140011""",314,70,0,0
"Bridgeport Achievement First District","=""2850013""",598,169,"*",0
"Bridgeport School District","=""""",5688,5158,45,56
"Bridgeport School District","=""0150011""",5688,5158,45,56
"Bristol School District","=""0170011""",1284,511,13,18
"Brookfield School District","=""0180011""",126,33,0,0
"Brooklyn School District","=""0190011""",121,19,0,31
"Canterbury School District","=""0220011""",32,"*",0,"*"
"Canton School District","=""0230011""",61,19,0,0
"Capitol Region Education Council","=""2410014""",557,64,9,"*"
"Chaplin School District","=""0240011""",0,"*",0,0
"Cheshire School District","=""0250011""",205,91,"*",10
"Chester School District","=""0260011""","*","*",0,0
"Clinton School District","=""0270011""",257,74,"*","*"
"Colchester School District","=""""",210,44,7,13
"Colchester School District","=""0280011""",210,44,7,13
"Columbia School District","=""0300011""",19,"*","*",0
"Common Ground High School District","=""2680013""",17,"*","*",0
"Connecticut Technical High School System","=""9000016""",4121,1141,99,0
"Cooperative Educational Services","=""2430014""",37,82,0,"*"
"Coventry School District","=""""",242,63,8,12
"Coventry School District","=""0320011""",242,63,8,12
"Cromwell School District","=""0330011""",357,83,"*","*"
"Danbury School District","=""0340011""",2010,809,9,"*"
"Darien School District","=""0350011""",55,17,0,"*"
"Deep River School District","=""0360011""","*","*",0,0
"Derby School District","=""""",150,149,"*",11
"Derby School District","=""0370011""",150,149,"*",11
"East Granby School District","=""0400011""",26,12,0,0
"East Haddam School District","=""""",55,15,0,0
"East Haddam School District","=""0410011""",55,15,0,0
"East Hampton School District","=""0420011""",115,18,0,"*"
"East Hartford School District","=""0430011""",3109,2013,41,22
"East Haven School District","=""0440011""",644,263,6,0
"East Lyme School District","=""0450011""",163,34,0,7
"East Windsor School District","=""0470011""",296,118,0,12
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",21,22,0,0
"Eastford School District","=""0390011""",7,0,"*",0
"Easton School District","=""0460011""",11,"*",0,0
"Education Connection","=""2420014""",0,0,0,0
"Ellington School District","=""0480011""",248,73,"*","*"
"Elm City College Preparatory School District","=""2890013""",94,448,"*",0
"Enfield School District","=""0490011""",969,256,22,"*"
"Explorations District","=""1480011""",36,"*",0,0
"Explorations District","=""2720013""",36,"*",0,0
"Fairfield School District","=""0510011""",374,63,"*","*"
"Farmington School District","=""0520011""",59,29,"*",14
"Franklin School District","=""0530011""",0,"*",0,0
"Glastonbury School District","=""0540011""",163,39,14,"*"
"Granby School District","=""0560011""",72,"*","*","*"
"Greenwich School District","=""0570011""",272,56,"*","*"
"Griswold School District","=""0580011""",437,161,"*",0
"Groton School District","=""0590011""",539,363,26,8
"Guilford School District","=""""",198,87,6,"*"
"Guilford School District","=""0600011""",198,87,6,"*"
"Hamden School District","=""0620011""",1040,439,36,22
"Hampton School District","=""0630011""",6,0,0,0
"Hartford School District","=""0640011""",3850,5603,74,55
"Hartland School District","=""0650011""","*",0,0,0
"Hebron School District","=""0670011""",6,0,0,0
"Highville Charter School District","=""2860013""",19,0,0,0
"Integrated Day Charter School District","=""2640013""",9,16,0,"*"
"Interdistrict School for Arts and Comm District","=""2650013""",122,34,0,0
"Jumoke Academy District","=""2610013""",12,14,0,0
"Killingly School District","=""0690011""",502,118,0,16
"Learn","=""2450014""",81,83,0,0
"Lebanon School District","=""0710011""",86,12,0,0
"Ledyard School District","=""0720011""",162,37,"*","*"
"Lisbon School District","=""0730011""",24,6,"*",0
"Litchfield School District","=""0740011""",75,30,"*","*"
"Madison School District","=""0760011""",158,24,0,0
"Manchester School District","=""0770011""",1211,550,12,0
"Mansfield School District","=""0780011""",28,"*",0,"*"
"Marlborough School District","=""0790011""","*","*",0,0
"Meriden School District","=""""",3127,977,35,6
"Meriden School District","=""0800011""",3127,977,35,6
"Middletown School District","=""""",517,308,"*",25
"Middletown School District","=""0830011""",517,308,"*",25
"Milford School District","=""""",562,235,6,0
"Milford School District","=""0840011""",562,235,6,0
"Monroe School District","=""0850011""",48,22,"*",0
"Montville School District","=""0860011""",777,203,"*",20
"Naugatuck School District","=""0880011""",886,351,8,9
"New Beginnings Inc., Family Academy District","=""2800013""","*",90,"*","*"
"New Britain School District","=""""",3647,1990,0,"*"
"New Britain School District","=""0890011""",3647,1990,0,"*"
"New Canaan School District","=""0900011""",46,7,0,0
"New Fairfield School District","=""""",264,38,"*","*"
"New Fairfield School District","=""0910011""",264,38,"*","*"
"New Hartford School District","=""0920011""","*",0,"*",0
"New Haven School District","=""""",720,3198,71,0
"New Haven School District","=""0930011""",720,3198,71,0
"New London School District","=""0950011""",1085,432,18,"*"
"New Milford School District","=""""",577,179,"*",7
"New Milford School District","=""0960011""",577,179,"*",7
"Newington School District","=""""",678,91,7,"*"
"Newington School District","=""0940011""",678,91,7,"*"
"Newtown School District","=""0970011""",155,19,"*","*"
"North Branford School District","=""0990011""",305,45,"*","*"
"North Canaan School District","=""1000011""","*",0,0,"*"
"North Haven School District","=""1010011""",76,80,"*",31
"North Stonington School District","=""1020011""",110,11,"*",0
"Norwalk School District","=""1030011""",1533,575,44,"*"
"Norwich Free Academy District","=""9010022""",693,126,12,"*"
"Norwich School District","=""""",529,304,"*",21
"Norwich School District","=""1040011""",529,304,"*",21
"Odyssey Community School District","=""2630013""",9,9,0,0
"Old Saybrook School District","=""1060011""",52,14,0,"*"
"Orange School District","=""1070011""",8,0,0,0
"Oxford School District","=""1080011""",51,22,0,"*"
"Park City Prep Charter School District","=""2830013""",71,52,0,"*"
"Plainfield School District","=""""",359,145,"*",70
"Plainfield School District","=""1090011""",359,145,"*",70
"Plainville School District","=""""",184,22,0,"*"
"Plainville School District","=""1100011""",184,22,0,"*"
"Plymouth School District","=""1110011""",64,68,0,0
"Pomfret School District","=""1120011""",7,"*",0,0
"Portland School District","=""1130011""",57,21,"*","*"
"Preston School District","=""1140011""",8,"*",0,0
"Putnam School District","=""1160011""",191,99,"*",7
"Redding School District","=""1170011""",34,0,0,"*"
"Regional School District 01","=""2010012""",51,10,"*","*"
"Regional School District 04","=""2040012""",73,34,0,0
"Regional School District 05","=""""",185,67,0,0
"Regional School District 05","=""2050012""",185,67,0,0
"Regional School District 06","=""2060012""",93,36,"*","*"
"Regional School District 07","=""2070012""",41,47,"*",0
"Regional School District 08","=""2080012""",263,74,7,0
"Regional School District 09","=""2090012""",10,16,"*",0
"Regional School District 10","=""2100012""",181,33,0,"*"
"Regional School District 11","=""2110012""",55,28,0,0
"Regional School District 12","=""2120012""",71,13,"*",0
"Regional School District 13","=""2130012""",40,"*",0,0
"Regional School District 14","=""2140012""",75,31,0,0
"Regional School District 15","=""2150012""",174,61,"*",11
"Regional School District 16","=""2160012""",196,83,"*",0
"Regional School District 17","=""2170012""",132,34,"*","*"
"Regional School District 18","=""""",48,13,"*",0
"Regional School District 18","=""2180012""",48,13,"*",0
"Regional School District 19","=""2190012""",95,82,0,0
"Ridgefield School District","=""""",93,35,"*","*"
"Ridgefield School District","=""1180011""",93,35,"*","*"
"Rocky Hill School District","=""""",223,57,0,0
"Rocky Hill School District","=""1190011""",223,57,0,0
"Salem School District","=""1210011""",8,18,0,"*"
"Salisbury School District","=""1220011""",15,0,0,0
"Scotland School District","=""1230011""",7,0,0,0
"Seymour School District","=""""",407,86,"*",0
"Seymour School District","=""1240011""",407,86,"*",0
"Sharon School District","=""1250011""","*",0,0,0
"Shelton School District","=""1260011""",617,176,8,0
"Sherman School District","=""1270011""",8,"*",0,0
"Side By Side Charter School District","=""2700013""","*","*",0,"*"
"Simsbury School District","=""1280011""",279,64,6,0
"Somers School District","=""1290011""",205,30,0,0
"South Windsor School District","=""1320011""",255,45,0,"*"
"Southington School District","=""""",351,140,6,"*"
"Southington School District","=""1310011""",351,140,6,"*"
"Sprague School District","=""1330011""",54,12,0,"*"
"Stafford School District","=""""",355,44,7,0
"Stafford School District","=""1340011""",355,44,7,0
"Stamford Academy District","=""2820013""",0,"*",0,0
"Stamford School District","=""1350011""",263,550,49,0
"Sterling School District","=""1360011""",60,6,0,"*"
"Stonington School District","=""1370011""",375,64,0,14
"Stratford School District","=""""",845,139,0,19
"Stratford School District","=""1380011""",845,139,0,19
"Suffield School District","=""1390011""",265,58,0,11
"The Bridge Academy District","=""2690013""",20,130,10,0
"The Gilbert School District","=""9020022""",164,86,0,0
"Thomaston School District","=""1400011""",110,48,0,0
"Thompson School District","=""1410011""",134,100,0,15
"Tolland School District","=""1420011""",138,31,8,0
"Torrington School District","=""""",841,388,13,23
"Torrington School District","=""1430011""",841,388,13,23
"Trailblazers Academy District","=""2780013""","*","*",0,"*"
"Trumbull School District","=""""",80,100,11,0
"Trumbull School District","=""1440011""",80,100,11,0
"Unified School District #2","=""""",51,57,0,0
"Unified School District #2","=""3470015""",51,57,0,0
"Vernon School District","=""""",858,170,"*",37
"Vernon School District","=""1460011""",858,170,"*",37
"Voluntown School District","=""1470011""",13,0,0,0
"Wallingford School District","=""1480011""",780,201,0,12
"Waterbury School District","=""1510011""",7272,6332,7,107
"Waterford School District","=""1520011""",240,49,"*","*"
"Watertown School District","=""1530011""",623,213,"*",8
"West Hartford School District","=""""",677,172,8,8
"West Hartford School District","=""1550011""",677,172,8,8
"West Haven School District","=""1560011""",1042,672,32,85
"Westbrook School District","=""1540011""",299,"*",0,0
"Weston School District","=""1570011""",30,"*","*",0
"Westport School District","=""1580011""",90,26,"*","*"
"Wethersfield School District","=""""",169,62,"*",0
"Wethersfield School District","=""1590011""",169,62,"*",0
"Willington School District","=""1600011""",23,0,0,"*"
"Wilton School District","=""1610011""",39,20,"*","*"
"Winchester School District","=""1620011""",42,10,0,0
"Windham School District","=""""",1571,692,19,44
"Windham School District","=""1630011""",1571,692,19,44
"Windsor Locks School District","=""""",257,87,15,0
"Windsor Locks School District","=""1650011""",257,87,15,0
"Windsor School District","=""1640011""",930,189,11,22
"Wolcott School District","=""1660011""",259,78,"*",0
"Woodbridge School District","=""1670011""","*","*",0,0
"Woodstock Academy District","=""9030022""",186,23,9,0
"Woodstock School District","=""1690011""",24,0,0,"*"

